This is an example for dust density given in a file with   
rho = 1/r**1.5. Make sure that this header has three lines.
   r(i)   rho_dust(i)  
  1.0000	1.0000
  1.0200	0.9707
  1.0400	0.9429
  1.0600	0.9163
  1.0800	0.8910
  1.1000	0.8668
  1.5000	0.5443
  2.0000	0.3536
  2.5000	0.2530
  3.0000	0.1925
  3.5000	0.1527
  4.0000	0.1250
  5.0000	0.0894
  7.5000	0.0487
 10.0000	0.0316
 15.0000	0.0172
 20.0000	0.0112
 25.0000	8.0000e-3
 50.0000	2.8284e-3
 75.0000	1.5396e-3
 90.0000	1.1712e-3
100.0000	1.0000e-3
101.0000	9.8519e-4
